観光地名,短文説明,タグ,住所,緯度経度,画像,電話番号,ホームページ,Twitter,Instagram,Youtube,GoogleMapリンク,インフォ,詳細説明,追加画像1,追加画像2,追加画像3,追加画像4
大和山,,"アウトドア 自然
",〒716-1551 岡山県加賀郡吉備中央町北,"34.8246076,133.6931042",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/eed61ec75dc469f3ae7e4f4588110a52.jpg,,,,,,"https://www.google.co.jp/maps/place//@34.8246073,133.6843494,15z/data=!3m1!4b1!4m5!3m4!1s0x3556aee854eebc6b:0x659918c3f9f006fe!8m2!3d34.8246081!4d133.6931042?hl=ja",,"山頂（標高608m）には目印となる雨量レーダーがあり、晴天の日には瀬戸内海が望めます。

道の駅かようからの登山道は、「ことわざの道」として整備されています。

また、山頂にはどんな日照りにも枯れたことがないといわれる「龍王の泉」や岡崎嘉平太氏の望郷の碑があります。",,,,
加茂川歴史民俗資料館,,"歴史・文化 記念館・資料館
",〒709-2331 岡山県加賀郡吉備中央町下加茂１１０３−３,"34.8605736,133.8103871",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/7b4c6237a262466b31a6475df8ba1db2.jpg,0866569191,,,,,"https://www.google.co.jp/maps/place//@34.8605736,133.8103871,17z/data=!4m5!3m4!1s0x35541da301602be1:0xf3028cfd8882af03!8m2!3d34.860573!4d133.8125521?hl=ja","#### 営業日　
土曜・日曜・祝日

#### 営業時間　
10:00～16:00","生活用具、農具、年中行事用具など800点余りを一堂に展示し保存。

先人たちによって長い間築かれてきた生活の足跡を一目で見ることができます。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
きびちゅうおうのみんなの水車,,米 自然,〒709-2554 岡山県加賀郡吉備中央町和田101,"34.8900619,133.7394909",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/suisha-e1673238621247.png,09041701577,,,,https://youtu.be/PxgyFyEFHdY,"https://www.google.com/maps/place/%E3%80%92709-2554+%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%8A%A0%E8%B3%80%E9%83%A1%E5%90%89%E5%82%99%E4%B8%AD%E5%A4%AE%E7%94%BA%E5%92%8C%E7%94%B0/@34.8900602,133.7188913,14z/data=!3m1!4b1!4m6!3m5!1s0x3556a6f6b8170795:0x1129069d70ca8f7c!8m2!3d34.8915048!4d133.7381978!16s%2Fg%2F1pxykmvw9?entry=ttu","#### 使用料　
町内の方：1000円　町外の方：1500円

#### 注意事項　
一回の精米に9～12時間かかります。玄米の持ち込みは15kg～60kgまで","和田地区に眠っていた精米水車を2017年に地域おこし協力隊員と有志の地域住民の手により再生しました。現在は一般の方がご利用できる精米所として稼働しています。また「食育」や「自然エネルギー」をテーマにした水車体験会やワークショップなどの受け入れもおこなっています。

水の力が車輪を回し、杵と臼で12時間かけて精米した昔ながらの〈水車米〉の味は、地域の方々のお墨付き。熱が生じないためデンプン質が分解されず、お米本来の旨味を損ないません。また、胚芽が残るので栄養価も高く、火で炊くとより一層美味しくいただけます。この水車から生まれる水車米は、ふるさと納税の返礼品にもなっています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
吉備中央公園テニスコート,,"アウトドア スポーツ
",〒716-1241 岡山県加賀郡吉備中央町吉川４４６９−４６ 吉備中央公園内,"34.8322672,133.7546598",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/tennis-600x400.jpg,0866568255,"http://www.kibicity.ne.jp/facility/tennis.html
",,,,"https://www.google.co.jp/maps/place//@34.8322672,133.7546598,17z/data=!4m10!1m2!2m1!1z44OG44OL44K544Kz44O844OI!3m6!1s0x3556a91431e81d35:0x964edcdb5cbdf0ec!8m2!3d34.8322672!4d133.7584486!15sChLjg4bjg4vjgrnjgrPjg7zjg4iSAQx0ZW5uaXNfY291cnTgAQA!16sg11q2612yb_?hl=ja","#### 使用時間 
9:00～17:00

#### 使用料金
1時間 500円
回数券(6時間分) 2500円

####注意事項 
更衣室、照明設備はありません","吉備中央公園内にある屋外テニスコートです。人工芝(オムニコート)２面が整備されています。

ご予約は、利用前の平日 8:30～17:00 にきびプラザ1F管理センターで受付しています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
下加茂プレーパーク,,アウトドア アクティビティ スポーツ 自然,〒709-2331 岡山県加賀郡吉備中央町下加茂１１０３−３,"34.8322672,133.7546598",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/48ca8c4ee4c9fe608ff3288c0531b139.jpg,0866541319,,,,,https://www.google.com/maps?q=%E3%80%92709-2331+%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%8A%A0%E8%B3%80%E9%83%A1%E5%90%89%E5%82%99%E4%B8%AD%E5%A4%AE%E7%94%BA%E4%B8%8B%E5%8A%A0%E8%8C%82&zoom=14&size=512x512&maptype=roadmap&sensor=false,"#### 使用料
無料(観光農園を除く)
※独占使用する場合は料金を頂きます","河川敷に整備された大きな広場。

ラジコンサーキット場、ローラースケート場、バーベキュー広場、ゲートボール場、その他体験農園もあり

自然の中で憩いのひとときを満喫できます。

 

お問合せ：吉備中央町 建設課(0866-54-1319)

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
コーンファミリー上田牧場,,アクティビティ 買い物 農産物 野菜,〒716-1552 岡山県加賀郡吉備中央町岨谷１１０,"34.797212,133.7044543",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/ueda2-600x400.jpg,0866555415,,,,,"https://www.google.co.jp/maps/place//@34.797212,133.7022656,17z/data=!3m1!4b1!4m5!3m4!1s0x3556aff7ddc3b0c3:0x4b4d3efa2ae5dce2!8m2!3d34.797212!4d133.7044543?hl=ja","#### 営業時間
9:00～17:00

#### 体験料
1,000円(とうもろこし2本付き)","夫婦二人の愛情を一杯で育った生で食べれるトウモロコシ「味未390」を

人や牛、ヤギとのふれあいを楽しみながら収穫体験をすることができます。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
道の駅かもがわ円城 ふれあいの館,,くさぎ菜のかけめし グルメ ランチ 和食,〒709-2413 岡山県加賀郡吉備中央町上田西２３２５−１,"34.8922993,133.8131108",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/091b7abed24c8603ab897940095842c1.jpg,0867341717,,,,,"https://www.google.co.jp/maps/place/+/@34.8922993,133.8131108,19.26z/data=!4m8!1m2!2m1!1z6YGT44Gu6aeFIOOBi-OCguOBjOOCj-WGhuWfjuOAgOOBteOCjOOBguOBhA!3m4!1s0x35541e74164b3743:0xca154638e8e5df85!8m2!3d34.8922967!4d133.8139644?hl=ja","#### 定休日
水曜、年末年始

#### 営業時間
10:30〜16:00","道の駅かもがわ円城の休憩所の隣にある飲食店。
うどんを中心に、加茂川キムチや吉備中央町の伝統料理「くさぎ菜のかけめし」等を堪能できます。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。

",,,,
田吾作,,グルメ ディナー ラーメン ランチ,〒716-1101 岡山県加賀郡吉備中央町豊野６７２６,"34.8796887,133.6812632",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/tagosaku-600x400.jpg,0866540080,,,,,"https://www.google.co.jp/maps/place//@34.8796887,133.6812632,13.12z/data=!4m10!1m2!2m1!1z55Sw5ZC-5L2c!3m6!1s0x3556a667d2310deb:0xd5fdb066ebb385f1!8m2!3d34.881661!4d133.7312762!15sCgnnlLDlkL7kvZxaCyIJ55Sw5ZC-5L2ckgEQcmFtZW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOcGFtUlBhalZuUlJBQuABAA!16sg11c3v6k8gt?hl=ja","#### 定休日
火曜

#### 営業時間
17:00〜（日曜日は12:00〜）","山里にある古民家ラーメン店。

豚骨を砕き１２時間煮込んだスープで作り上げる豚骨ラーメンが大将の一押し。

自慢のスープをぜひ御賞味ください。一品料理も充実していますよ。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
中国飯店 北京,,グルメ ディナー ラーメン ランチ レストラン 中華料理,〒716-1131 岡山県加賀郡吉備中央町上竹４６０８,"34.8409852,133.6650024",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/pekin-600x400.jpg,0866-54-0141,,,,,"https://www.google.co.jp/maps/place/+/@34.8409852,133.6650024,15z/data=!4m5!3m4!1s0x3556ae55cadcb561:0xf745d353eedb0bdf!8m2!3d34.8410049!4d133.6734697?hl=ja","#### 営業日
火～土曜、第３日曜　※不定休有

#### 営業時間
11:00〜14:00（ラストオーダー13:30）

","昔ながらの中華料理店です。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
ふる里,,グルメ ランチ レストラン 和食,〒716-1554 岡山県加賀郡吉備中央町西１５０３,"34.7491951,133.799416",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/hurusato2-600x400.jpg,"0866556313
",,,,,"https://www.google.co.jp/maps/place//@34.8327811,133.7597702,16.22z/data=!4m12!1m6!3m5!1s0x3556a86fec42ca27:0xd501b11b040cf810!2z44GK6aOf5LqL5YemIOahgiDvvIjjgYvjgojjgYbpnZLnqbrluILvvIk!8m2!3d34.8302035!4d133.7628296!3m4!1s0x0:0x89e236f5e6cd9349!8m2!3d34.8351003!4d133.7606467?hl=ja","#### 定休日
水曜

#### 営業時間
11:00〜15:00 17:00〜20:00","焼き肉を中心に和食も取り揃えていて、様々な好みに対応できるお食事処。

畳の部屋もあり、広々とした店内は小団体のお食事も受入可能となっています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
郷土料理まきば,,グルメ スイーツ テイクアウト ラーメン ランチ レストラン 和食,〒716-1241 岡山県加賀郡吉備中央町吉川４８６０−６,"34.8327811,133.7597702",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/7c7417d8035ad5b0e0680e84f14f1d73.jpg,0866568326,,,,,"https://www.google.co.jp/maps/place//@34.8327811,133.7597702,16.22z/data=!4m12!1m6!3m5!1s0x3556a86fec42ca27:0xd501b11b040cf810!2z44GK6aOf5LqL5YemIOahgiDvvIjjgYvjgojjgYbpnZLnqbrluILvvIk!8m2!3d34.8302035!4d133.7628296!3m4!1s0x0:0x89e236f5e6cd9349!8m2!3d34.8351003!4d133.7606467?hl=ja","#### 定休日
火曜

#### 営業時間
10:00～19:40 (ラストオーダー19:00)","吉備中央町の郷土料理「くさぎ菜のかけめし」が食べられる、きびプラザにあるお店です。

その他に和定食、うどん等もあります。お持ち帰りも可。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
お食事処 桂,,グルメ ツーリング ディナー ランチ 和食,〒716-1241 岡山県加賀郡吉備中央町吉川４４７０,"34.8301719,133.7629208",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/dbf93081d6d9e69022b7da3e4b5e19b0.jpeg,0866568018,http://wasyoku-katsura.com/,,,,"https://www.google.com/maps/place/%E3%80%92716-1241+%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%8A%A0%E8%B3%80%E9%83%A1%E5%90%89%E5%82%99%E4%B8%AD%E5%A4%AE%E7%94%BA%E5%90%89%E5%B7%9D%EF%BC%94%EF%BC%94%EF%BC%97%EF%BC%90/@34.8301719,133.7603459,17z/data=!3m1!4b1!4m6!3m5!1s0x3556a86fec586fdb:0xc508b59513309a8c!8m2!3d34.8301719!4d133.7629208!16s%2Fg%2F11r_npb6vp?entry=ttu","#### 定休日
水曜

#### 営業時間
11:00～14:00　17:00～19:00","かよう青空市の隣にあるお食事処。

瀬戸内の鮮魚類を使用した「生きのいいお造り」や「寄せ鍋」がオススメ。
650円の日替わり定食（お造り＋茶碗蒸し＋汁＋小鉢＋ごはん＋当日のメイン）も大人気です。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
和風レストランかよう,,グルメ ディナー ランチ 和食,〒716-1551 岡山県加賀郡吉備中央町北１９７７−１,"34.8163238,133.702809",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/afc54dfa3666b49e5e0830f41ce0c8ef.jpg,0866559011,,,,,"https://www.google.co.jp/maps/place//@34.8163238,133.702809,17.26z/data=!4m5!3m4!1s0x3556aec8afd4995d:0xc5e69d5951f4c592!8m2!3d34.8162088!4d133.7049979?hl=ja","#### 営業時間
9:00～20:00

#### 定休日
なし","道の駅かよう内にあるメニュー豊富な和風レストラン。

人気はおかわり自由のサラダバー。地元で採れた新鮮野菜をお召し上がりください。

※現在はサラダバーは中止しています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
井原かなやま,,グルメ 和食,〒709-2552 岡山県加賀郡吉備中央町井原９２５−３,"34.9005982,133.7295069",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/kanayama1.jpg,0867350379,,,,,"https://www.google.co.jp/maps/place//@34.9005982,133.7295069,13.09z/data=!4m5!3m4!1s0x3556a722ffe91597:0x17be58af882a6311!8m2!3d34.8974084!4d133.7598033?hl=ja","#### 定休日
年中無休　※予約必須","１０畳と３７畳の部屋は各種会議、宴会に最適です。

鮮魚店ならではの魚料理は絶品。お店のおすすめ品は地域伝統料理の「さわら茶漬け」です。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
茶房かたやま邸,,グルメ スイーツ ランチ 和食 歴史・文化,〒709-2331 岡山県加賀郡吉備中央町下加茂１５,"34.8589516,133.8106886",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/ea7a58cf9c47785ef2761bf444d2c4cf.jpg,"0867340747
",,,,,"https://www.google.co.jp/maps/place//@34.8589516,133.8106886,18.12z/data=!4m5!3m4!1s0x35541da229c67727:0x3c23a48e8894c!8m2!3d34.858353!4d133.8119505?hl=ja","#### 定休日
水曜・日曜

#### 営業時間
10:00〜16:00（冬期は10:00〜15:00）","片山邸内にあるお休み処。地元の旬の素材をふんだんに使った「きまぐれ弁当」が好評です。

地元のお母さん達の心のこもった品々が並びます。

 

江戸時代の様式を一部に残した「百畳屋敷」とも呼ばれる

片山邸の雰囲気を味わいながら落ち着いてお食事できる空間となっています。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
てるてるファーム,,グルメ スイーツ テイクアウト 果物 買い物 農産物,〒716-1552 岡山県加賀郡吉備中央町岨谷２８６,"34.7918881,133.7090584",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/teruteru1-600x400.jpg,09044975891,https://tel2farm.cart.fc2.com/,,,,"https://www.google.co.jp/maps/place//@34.7918881,133.7068697,17z/data=!3m1!4b1!4m5!3m4!1s0x3556ac021be0c1a5:0x6cb29fa5562b3ebb!8m2!3d34.7918885!4d133.7090582?hl=ja","#### 営業時間
11:00〜16:00

#### 営業日
おおむね水曜・金曜","ぶどうを栽培・販売されている農家さんですが

冬季には「パンダ焼き」(パンダ形のたい焼き)を製造しています。

小さなコパンダ（1個80円）は、

粒あん、チョコ、クリーム、 レアチーズ、焼き芋、イチゴ 桜あん、抹茶クリームなど 色々な味を楽しめます。

 

大きなサイズの大パンダ（1個160円）は 中身がハムチーズというお惣菜系です。

オーダーいただければ、 大パンダも色々な味に変身可能です。

 

また、お好み焼き風回転焼き 「おこまる」も大人気です。（1個200円）

不定期な営業日のため、 LINE公式アカウントから確認の上お越しください。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
焼き屋,,グルメ パン,〒709-2413 岡山県加賀郡吉備中央町上田西２０２５−２,"34.8862393,133.8044805",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/4cf3d681f1825b32e3c31cbf94f0ffbd.jpg,0867341564,,,,,"https://www.google.co.jp/maps/place//@34.8862393,133.8044805,15.18z/data=!4m5!3m4!1s0x35541de6a483037f:0x80f15b1afd14ff04!8m2!3d34.8871895!4d133.8057468?hl=ja","#### 定休日
火曜・水曜

#### 営業時間
11:00〜17:00","国内産小麦と自家製酵母を使うハード系パンがメインのパン屋さん。

「カンパーニュ」や「クルミフルーツ」が人気です。噛めば噛むほど美味しさが口の中に広がります。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。

",,,,
